EL1: Electronic Ladder,A1: DNA-1,B1: DNA-2,C1: DNA-3,D1: RNA-1,E1: RNA-2,F1: RNA-3,G1: RNA-4,H1: RNA-5
450.0416,9.373666,12.14137,4.959962,7.276381,5.225287,5.182814,2.107008,1.644257
554.0459,9.367073,12.13149,4.909233,7.287204,4.737727,5.330618,2.008807,1.396365
660.5037,8.870136,11.873,5.277607,6.845446,4.589267,5.258759,1.797989,1.158323
763.2296,8.695421,11.86526,5.570925,6.410205,4.629873,5.097811,1.933879,0.8553918
864.2911,8.435596,11.63909,5.674922,6.069269,4.422817,4.711716,2.02365,0.9925749
956.8799,8.373828,11.15387,5.711885,5.889204,4.302528,4.409657,2.023633,1.441983
1031.898,8.868592,10.71182,4.933684,6.098206,4.271839,4.364505,2.024722,1.311421
1080.723,9.636742,10.03042,4.840307,6.364721,4.214744,4.405504,1.842759,1.626438
1106.195,9.995708,9.610657,4.604634,6.012732,3.943894,4.528236,1.543502,1.529952
1100.111,10.09491,9.197334,4.50486,5.482588,4.15379,4.415832,1.325923,1.424659
1062.296,10.0695,9.113512,4.484528,4.955872,4.251418,4.221123,1.436185,1.379016
996.517,9.73731,9.100331,4.462147,4.792724,4.03548,4.114121,1.542228,1.521602
906.713,9.337746,8.740139,4.293631,4.929052,3.931059,4.139743,1.666348,1.521903
795.9549,9.280385,8.270533,4.163776,5.203665,3.783376,3.99924,1.603444,1.557652
674.9606,9.305516,7.624716,4.18881,5.339848,3.68462,4.079677,1.558294,1.789678
556.9944,8.761563,7.32434,4.258328,5.20366,3.404129,3.995405,1.505193,1.657989
446.693,8.352932,7.269258,4.110585,4.983108,3.581333,3.730645,1.707344,1.075477
346.702,8.434478,7.273841,3.941579,4.087169,3.432476,3.576525,2.069847,0.6414974
265.6448,8.610556,7.345196,3.248477,3.418656,3.217446,3.539516,2.195145,0.5081217
200.2237,8.794407,7.147518,2.709552,2.933746,3.172639,3.564209,1.966418,0.3973373
151.4004,8.710376,6.647004,2.407492,2.525261,3.020326,3.358418,1.767137,0.8863372
115.7418,8.770083,6.19442,2.119053,2.225311,2.965705,3.415207,1.459383,1.0833
91.86302,8.35386,5.899542,2.222514,2.551658,2.884687,3.348351,1.315787,0.8807477
74.3667,7.849055,5.797266,2.542904,2.773107,2.847794,3.21013,1.656277,0.8915017
63.74794,8.067935,5.730187,2.906528,2.658116,2.604239,3.396286,1.834538,0.8834844
56.24147,7.838733,5.457479,2.904098,3.137042,2.33631,3.506433,1.913755,0.8844103
51.03796,7.606782,5.364682,2.983469,3.472903,2.326611,3.584313,1.699442,1.08566
47.55177,7.513865,5.097465,2.899497,3.390416,2.342703,3.589232,1.752987,1.417422
45.53395,7.457275,4.960684,2.604995,3.272782,2.571416,3.603237,1.65594,1.474729
43.0823,7.192347,5.136409,2.024141,3.14094,2.568373,3.518187,1.602106,1.097426
40.84527,6.815625,5.36059,1.49391,3.235044,2.550054,3.382099,1.96361,1.050669
38.59587,7.118066,5.489844,0.7227001,3.410291,2.255863,3.361492,1.990741,1.117011
35.47518,6.692438,5.227932,0.2520533,3.605787,1.789379,3.390292,1.888166,1.196261
32.35783,6.506915,5.15743,0.3127922,3.535248,1.547479,3.378413,1.616871,1.716763
30.04989,6.40658,4.81576,0.8037076,3.151355,1.421692,3.328117,1.511266,2.162618
28.54156,6.083368,4.643572,1.414944,2.970795,1.467382,3.059087,1.432561,2.368455
26.50611,5.810738,4.669637,1.600062,2.83114,1.571062,2.937228,1.462834,2.192673
24.06463,5.7162,4.614208,1.89747,2.653802,1.709893,2.972727,1.507686,1.845127
21.99702,5.916194,4.330719,1.886706,2.489138,1.866841,2.79212,1.329171,1.710608
19.40947,6.039512,3.9951,1.517944,2.324892,1.818107,2.544856,1.000969,1.632019
17.40509,6.009341,3.584433,1.244236,2.355801,1.72653,2.337012,0.6280823,1.673637
16.03198,5.846406,3.132449,1.059624,2.087241,1.649209,2.331697,0.5436774,1.603711
14.0304,5.597469,3.014575,0.9805928,2.039196,1.481619,2.010836,0.6236847,1.765927
11.71171,5.314183,3.032434,0.8335469,1.923213,1.477747,1.924449,0.7030042,2.273488
8.973277,5.12126,2.954885,1.348141,1.74384,1.586758,2.249085,0.7719147,2.227102
8.082124,5.033805,2.890096,1.928325,1.746743,1.751823,2.431204,0.7592208,2.395833
7.086301,5.108924,3.043846,2.143184,1.913748,1.914471,2.419423,0.6396586,2.346995
6.950706,5.183011,3.178584,2.452797,2.459013,1.79475,2.341861,0.6857857,1.978035
6.185293,5.212802,3.246717,2.878918,2.474085,1.619297,2.414544,0.7164388,1.633419
5.594789,4.704248,3.238969,2.272789,2.521494,1.381619,2.495566,0.9514549,1.123131
4.762113,4.083422,2.988316,1.239656,2.009045,1.269562,2.349536,0.8921669,1.398766
3.76668,3.702012,2.754891,0.8850227,2.030548,1.141718,2.615103,0.8052526,1.769199
3.342154,3.461725,2.563809,0.3460917,2.067365,1.044264,2.561176,0.5334861,2.011868
2.51744,3.032971,2.400692,0.181668,2.348966,0.9776996,2.537777,0.6078469,2.427979
2.046295,3.288948,2.459658,1.044371,2.877159,1.06076,2.614208,0.6254088,2.784746
1.104227,3.403596,2.552988,2.309954,3.087088,1.045811,2.548377,0.5875033,2.274052
1.051628,3.172254,2.498601,2.81484,2.90192,1.081084,2.589834,0.7509208,1.421998
1.317783,2.834438,2.272463,2.570928,2.602757,1.034847,2.484021,0.8031392,0.4716065
1.211333,3.115949,2.247331,2.455301,2.423612,0.8733385,2.437131,0.832585,0.583682
1.406448,3.311507,2.239346,1.826219,2.721738,0.7447209,2.281805,0.9534777,0.5089679
1.798693,3.093225,2.016951,1.67795,2.92216,0.4404087,2.218807,1.19686,0.2524594
1.587986,3.301943,1.833355,1.634149,2.915796,0.6446393,2.198658,1.124266,0.4516675
1.503236,2.948006,1.737183,1.41521,3.029429,0.4981169,2.170293,0.9014683,0.415764
1.40524,2.866599,1.787627,0.912131,2.650033,0.4375452,2.116635,0.5902969,0.5552118
0.8484548,2.47286,1.814186,0.3108112,2.538011,0.5872524,2.192917,0.2456898,1.076739
0.02696943,2.1621,1.748874,0.3045082,2.59656,0.885025,2.259578,0.01883359,1.532874
0.04547786,1.633825,1.928444,0.5153499,2.913497,0.921437,2.430405,0.1514285,1.372837
0,1.482112,1.893531,1.351299,3.335342,0.8111852,2.41506,0.4218772,0.8518333
0,1.394627,1.696649,1.780786,2.897657,0.8120105,2.111126,0.7869756,0.3689239
0.008528131,1.427536,1.711472,1.89528,2.779781,0.6453453,2.104617,0.9892512,0.1543352
0.3783427,1.898002,1.67159,1.457799,2.592963,0.493245,1.960042,0.8806342,0.07366198
0.7357793,1.932712,1.502588,0.8961927,2.479187,0.8636274,1.929685,0.8602794,0.3810085
0.6607769,1.770051,1.196161,0.428078,2.540271,1.22772,1.973179,0.8119063,0.6025267
0.3031012,1.397704,1.222273,0.6088421,2.285494,1.238042,1.935771,0.8691033,0.3599352
0.1531904,1.001812,1.360215,0.7465132,2.317543,1.305488,1.949092,1.121017,0.6717221
0.07519477,0.9176332,1.413536,0.8958172,2.319846,1.134616,2.039999,1.272747,0.3678535
0.5104658,0.8764202,1.685616,0.6291258,2.38541,0.9640839,2.000249,1.232857,0.381878
0.6017055,1.18945,1.70181,0.3455564,2.525283,0.6800886,1.79172,1.095249,0.4469486
0.62137,1.057697,1.614882,0.1321039,2.636919,0.4626174,1.635067,0.7885925,0.003426952
0.3541838,1.006593,1.312626,0.4180942,2.670238,0.09053154,1.419338,0.6378356,0.05735603
0.8905603,0.7166741,1.150158,1.054536,2.449453,0.01980841,1.099757,0.5109913,0.09315933
1.967771,0.407702,1.132647,1.441142,2.062332,0.2140823,0.8929102,0.6411516,0.3662909
4.152741,0.821978,0.9985926,1.499407,2.136096,0.1677887,0.6407852,0.8057254,0.4071291
5.755696,1.119172,1.191461,1.224973,2.317237,0.4656918,0.4510521,1.038595,0.7593796
7.653821,1.210279,1.254477,1.092155,2.323687,0.6534621,0.3580896,1.179336,1.137997
10.48581,1.063451,1.227842,0.6042461,2.452023,0.866686,0.6174494,1.068038,1.08762
15.20991,0.8718965,0.8847998,0.2934431,2.223854,1.028648,0.9500552,0.7845991,1.120678
24.29355,0.4537297,0.6332678,0.2798824,2.127106,1.161057,1.106756,0.4906375,1.132871
38.313,0.1989527,0.594582,0.4122224,1.538661,1.075361,1.151596,0.3772209,1.128298
63.13152,0.1100551,0.5889099,0.5146318,1.679372,0.7253237,1.050799,0.3459262,1.272858
98.8876,0.3891894,0.7043508,0.7886825,1.836114,0.8022969,0.7324747,0.5459373,1.059565
155.0649,0.4320613,1.016126,1.186705,1.852443,0.6772588,0.7160419,0.6315345,1.054163
239.5874,0.4212283,1.193695,1.15661,2.283702,0.687211,0.8107427,0.7430782,0.9801554
358.0933,0.408018,1.153138,0.7899179,2.524371,1.003936,0.8983206,0.4147984,0.7993735
508.699,0.1944624,1.034109,0.4959481,2.573575,1.139617,0.9382426,0.09375621,0.7633883
