reporter	best_category	count
6merx4_6	PCR_chimera	2
6merx4_6	full_length	1
6merx4_7	full_length	94
6merx4_7	PCR_chimera	23
6merx4_7	ambiguous_deletion	2
6merx4_7	spacer_not_cloned	1
6merx4_8	full_length	146
6merx4_8	PCR_chimera	120
6merx4_8	spacer_not_cloned	21
6merx4_8	ambiguous_deletion	5
6merx4_9	full_length	56
6merx4_9	PCR_chimera	1
6merx4_9	ambiguous_deletion	1
7mera1x1_1	full_length	469
7mera1x1_1	PCR_chimera	391
7mera1x1_1	spacer_not_cloned	38
7mera1x1_1	ambiguous_deletion	22
7mera1x1_10	full_length	157
7mera1x1_10	ambiguous_deletion	93
7mera1x1_10	spacer_not_cloned	36
7mera1x1_10	PCR_chimera	4
7mera1x1_2	full_length	156
7mera1x1_2	PCR_chimera	97
7mera1x1_2	ambiguous_deletion	9
7mera1x1_3	full_length	167
7mera1x1_3	PCR_chimera	105
7mera1x1_3	ambiguous_deletion	22
7mera1x1_4	full_length	121
7mera1x1_4	PCR_chimera	31
7mera1x1_4	ambiguous_deletion	6
7mera1x1_4	spacer_not_cloned	2
7mera1x1_5	full_length	67
7mera1x1_5	PCR_chimera	2
7mera1x1_5	ambiguous_deletion	2
7mera1x1_6	full_length	116
7mera1x1_6	spacer_not_cloned	8
7mera1x1_6	ambiguous_deletion	5
7mera1x1_6	PCR_chimera	2
7mera1x1_7	full_length	32
7mera1x1_7	ambiguous_deletion	5
7mera1x1_7	spacer_not_cloned	4
7mera1x1_7	PCR_chimera	3
7mera1x1_8	full_length	256
7mera1x1_8	ambiguous_deletion	16
7mera1x1_8	PCR_chimera	8
7mera1x1_8	spacer_not_cloned	8
7mera1x1_9	full_length	117
7mera1x1_9	PCR_chimera	39
7mera1x1_9	ambiguous_deletion	13
7mera1x1_9	spacer_not_cloned	5
7mera1x2_1	full_length	174
7mera1x2_1	PCR_chimera	29
7mera1x2_1	spacer_not_cloned	17
7mera1x2_1	ambiguous_deletion	6
7mera1x2_10	full_length	67
7mera1x2_10	PCR_chimera	31
7mera1x2_10	spacer_not_cloned	15
7mera1x2_10	ambiguous_deletion	1
7mera1x2_2	full_length	429
7mera1x2_2	ambiguous_deletion	22
7mera1x2_2	spacer_not_cloned	18
7mera1x2_2	PCR_chimera	14
7mera1x2_3	full_length	693
7mera1x2_3	PCR_chimera	68
7mera1x2_3	ambiguous_deletion	21
7mera1x2_3	spacer_not_cloned	21
7mera1x2_4	PCR_chimera	217
7mera1x2_4	full_length	124
7mera1x2_4	ambiguous_deletion	12
7mera1x2_4	spacer_not_cloned	2
7mera1x2_5	full_length	18
7mera1x2_5	ambiguous_deletion	5
7mera1x2_6	full_length	51
7mera1x2_6	ambiguous_deletion	10
7mera1x2_6	spacer_not_cloned	9
7mera1x2_6	PCR_chimera	8
7mera1x2_7	full_length	46
7mera1x2_7	spacer_not_cloned	8
7mera1x2_7	ambiguous_deletion	7
7mera1x2_7	PCR_chimera	3
7mera1x2_8	full_length	421
7mera1x2_8	ambiguous_deletion	288
7mera1x2_8	PCR_chimera	31
7mera1x2_8	spacer_not_cloned	11
7mera1x2_9	full_length	130
7mera1x2_9	ambiguous_deletion	17
