reporter	class	count
AAAL_5	full_length	108
AAAL_5	ambiguous	36
AAAL_6	full_length	44
AAAL_6	ambiguous	39
AAAL_7	full_length	327
AAAL_8	full_length	67
AAAL_8	chimeric	12
AAAL_9	full_length	475
AAAL_9	chimeric	77
AAAL_9	ambiguous	28
AAAS_1	full_length	133
AAAS_1	chimeric	6
AAAS_1	ambiguous	1
AAAS_10	full_length	377
AAAS_10	chimeric	100
AAAS_10	ambiguous	61
AAAS_2	full_length	508
AAAS_2	ambiguous	31
AAAS_2	chimeric	27
AAAS_3	full_length	76
AAAS_3	ambiguous	12
AAAS_3	chimeric	1
AAAS_4	ambiguous	796
AAAS_4	full_length	149
AAAS_5	full_length	537
AAAS_5	chimeric	28
AAAS_5	ambiguous	1
AAAS_6	full_length	153
AAAS_6	ambiguous	1
AAAS_6	chimeric	1
AAAS_7	full_length	971
AAAS_7	chimeric	4
AAAS_7	ambiguous	2
AAAS_8	full_length	103
AAAS_8	ambiguous	81
AAAS_8	chimeric	28
AAAS_9	full_length	109
AAAS_9	chimeric	2
AAAS_9	ambiguous	1
AAAp_1	full_length	242
AAAp_1	ambiguous	27
AAAp_1	chimeric	14
AAAp_10	full_length	75
AAAp_10	ambiguous	1
AAAp_10	chimeric	1
AAAp_2	full_length	61
AAAp_2	chimeric	1
AAAp_3	full_length	67
AAAp_3	ambiguous	26
AAAp_3	chimeric	8
AAAp_4	full_length	351
AAAp_4	ambiguous	14
AAAp_4	chimeric	1
AAAp_5	full_length	157
AAAp_5	chimeric	2
AAAp_5	ambiguous	1
AAAp_6	full_length	372
AAAp_6	chimeric	40
AAAp_6	ambiguous	20
AAAp_7	full_length	255
AAAp_7	chimeric	44
AAAp_7	ambiguous	3
AAAp_8	full_length	319
AAAp_8	ambiguous	1
AAAp_9	full_length	282
AAAp_9	chimeric	116
AAAp_9	ambiguous	1
AABA_1	full_length	177
AABA_1	chimeric	5
AABA_10	full_length	413
AABA_10	ambiguous	18
AABA_10	chimeric	18
AABA_2	full_length	530
AABA_2	chimeric	23
AABA_2	ambiguous	4
AABA_3	full_length	100
AABA_3	chimeric	5
AABA_4	full_length	25
AABA_4	chimeric	1
AABA_5	full_length	107
AABA_5	ambiguous	5
AABA_5	chimeric	3
AABA_6	full_length	1416
AABA_6	chimeric	121
AABA_6	ambiguous	61
AABA_7	full_length	134
AABA_7	ambiguous	20
AABA_7	chimeric	4
AABA_8	full_length	214
AABA_8	chimeric	9
AABA_8	ambiguous	7
AABA_9	full_length	481
AABA_9	chimeric	21
AABB_1	full_length	578
AABB_1	ambiguous	50
AABB_1	chimeric	9
AABB_10	ambiguous	35
AABB_10	chimeric	9
AABB_10	full_length	7
AABB_2	full_length	145
AABB_2	chimeric	4
AABB_3	full_length	269
AABB_3	chimeric	71
AABB_3	ambiguous	2
AABB_4	full_length	1260
AABB_4	chimeric	61
AABB_4	ambiguous	18
AABB_5	full_length	644
AABB_5	chimeric	135
AABB_5	ambiguous	6
AABB_6	full_length	402
AABB_6	ambiguous	19
AABB_6	chimeric	8
AABB_7	full_length	116
AABB_7	chimeric	2
AABB_8	full_length	393
AABB_8	ambiguous	38
AABB_9	full_length	197
AABB_9	chimeric	2
AABL_1	full_length	662
AABL_1	chimeric	16
AABL_1	ambiguous	1
AABL_10	full_length	755
AABL_10	chimeric	13
AABL_10	ambiguous	2
AABL_2	full_length	92
AABL_2	chimeric	1
AABL_3	full_length	535
AABL_3	ambiguous	27
AABL_3	chimeric	7
AABL_4	ambiguous	5
AABL_4	full_length	4
AABL_5	full_length	356
AABL_5	ambiguous	3
AABL_5	chimeric	3
AABL_6	full_length	87
AABL_6	ambiguous	1
AABL_7	full_length	1148
AABL_7	ambiguous	69
AABL_7	chimeric	8
AABL_8	full_length	118
AABL_8	ambiguous	79
AABL_8	chimeric	15
AABL_9	full_length	977
AABL_9	ambiguous	72
AABL_9	chimeric	55
AABS_1	full_length	167
AABS_10	full_length	202
AABS_10	ambiguous	89
AABS_10	chimeric	6
AABS_2	full_length	953
AABS_2	chimeric	6
AABS_2	ambiguous	4
AABS_3	full_length	343
AABS_3	chimeric	154
AABS_3	ambiguous	8
AABS_4	full_length	192
AABS_4	ambiguous	31
AABS_5	full_length	1573
AABS_5	chimeric	6
AABS_5	ambiguous	3
AABS_6	full_length	419
AABS_6	ambiguous	71
AABS_6	chimeric	49
AABS_7	full_length	125
AABS_7	ambiguous	63
AABS_8	full_length	367
AABS_8	ambiguous	50
AABS_8	chimeric	8
AABS_9	full_length	398
AABS_9	ambiguous	1
AABp_1	full_length	180
AABp_1	ambiguous	42
AABp_10	full_length	934
AABp_10	ambiguous	20
